,,,,,,,,,,,,,,,
Integrated Cold Chain Availability Platform (ICAP) of ANDHRA PRADESH for Year: 2010 - 2011 onwards as on date,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Name of Agency: NATIONAL HORTICULTURE BOARD (NHB),,,,,,,,,,,,,,,
"Component Category: COLD / CA STORAGE,POST HARVEST INFRASTRUCTURE",,,,,,,,,,,,,,,
"Component: CA STORAGE,COLD STORAGE,COLD ROOM,CONVEYOR BELT,GRADING PACKING UNIT,PACK HOUSE,PRE-COOLING,REFER VAN,RIPENING CHAMBER,SPECIALIZED TRANSPORT VEHICLE",,,,,,,,,,,,,,,
District: ALL,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Sl. No.,Project Code,State,Year of Subsidy Sanctioned,District,Name of Beneficiary,Project Address,Total Project Cost(In Lakhs),Total Amount Sanctioned (In Lakhs),Supported By,Current Status of Project,Component Details,,,,
,,,,,,,,,,,Component Category,Component,No. of Unit(s) / Chamber(s),Capacity,Unit of Capacity
Sl. No.,Project Code,State,Year of Subsidy Sanctioned,District,Name of Beneficiary,Project Address,Total Project Cost(In Lakhs),Total Amount Sanctioned (In Lakhs),Supported By,Current Status of Project,Component Details,,,,
,,,,,,,,,,,Component Category,Component,No. of Unit(s) / Chamber(s),Capacity,Unit of Capacity
23,28AP20020000230,Andhra Pradesh,2002-03,Warangal,Kakatiya Cold Storage Pvt. Ltd.,Hanamkonda (AP),0,33.16,NHB,Completed,COLD / CA STORAGE,COLD STORAGE,0,3316,MT
24,28AP20020000229,Andhra Pradesh,2002-03,Prakasam,Munaga Chennaiah Cold Storage,Ongole (AP),0,29,NHB,Completed,COLD / CA STORAGE,COLD STORAGE,0,2900,MT
25,28AP20030000021,Andhra Pradesh,2003-04,Visakhapatnam,M/s Vizag Cold Storage Pvt. Ltd.,Visakhapatnam,0,8.28,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,1060,MT
26,28AP20050000023,Andhra Pradesh,2004-05,Krishna,M/s Sri Sai Sagar Cold Storage Pvt. Ltd.,"Nandigama, Vijayawada",0,16.41,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,1952,MT
27,28AP20050000022,Andhra Pradesh,2004-05,Nellore,M/s Saibaba Cold Storage Pvt. Ltd.,Nellore,0,9.06,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,1059,MT
28,28AP20050000024,Andhra Pradesh,2004-05,Prakasam,M/s Munnuga Chennaiah Cold Storage Pvt. Ltd.,"Ongole, Prakasam",0,6.87,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,3994,MT
29,28AP20050000025,Andhra Pradesh,2004-05,Guntur,M/s Manjunath Cold Storage Pvt. Ltd.,"Lalpuram, NH - 5, Guntur",0,32.72,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,10487,MT
30,28AP20050000035,Andhra Pradesh,2004-05,Guntur,M/s K A G Reddy Cold storage Pvt. Ltd.,"Ankireddypalem, Guntur",0,31.67,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,10060,MT
31,28AP20050000027,Andhra Pradesh,2005-06,Guntur,M/s Sri Sai Tulasi Cold Storage Pvt. Ltd.,"Ankireddypalem, Guntur",0,35.17,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,8700,MT
32,28AP20060000049,Andhra Pradesh,2005-06,Krishna,M/s Sri Vijayasai Cold Storage,"Vidya Nagar, N H - 9, Nandigama",0,25.61,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,2561,MT
33,28AP20060000032,Andhra Pradesh,2005-06,Guntur,M/s Visalakshi Cold Storage Pvt. Ltd.,"GT Road, Guntur",0,37.57,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,8164,MT
34,28AP20060000036,Andhra Pradesh,2005-06,Guntur,M/s Sindhuri Cold Storage Pvt. Ltd.,"Ankireddypalem, Guntur",0,42.74,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,8985,MT
35,28AP20060000033,Andhra Pradesh,2005-06,East Godavari,M/s Saibhya Agro Storages,"Dharmavaram, Kakinada",0,25,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,3000,MT
36,28AP20060000031,Andhra Pradesh,2005-06,Anantapur,M/s MKB Cold Storage,"Punganur, Chittoor",0,31.62,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,4000,MT
37,28AP20060000037,Andhra Pradesh,2005-06,Guntur,M/s Lakhsmi Malleswari Cold Storage Pvt. Ltd.,"Ankireddypalem, Guntur",0,39.34,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,8464,MT
38,28AP20060000041,Andhra Pradesh,2005-06,Guntur,M/s Narayanadri Cold Storage Pvt. Ltd.,Ankireddypalem,0,27.06,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,10172.86,MT
39,28AP20060000040,Andhra Pradesh,2005-06,Prakasam,M/s Rama Cold Storage Pvt. Ltd.,Addanki,0,47.23,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,5000,MT
40,28AP20060000045,Andhra Pradesh,2005-06,Guntur,M/s Kommineni Cold Storage,Ankireddypalem,0,32.27,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,8086,MT
41,28AP20060000043,Andhra Pradesh,2005-06,Prakasam,M/s Omkar Cold Storage,Ongole,0,47.82,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,5161,MT
42,28AP20060000044,Andhra Pradesh,2005-06,Prakasam,M/s Neeli Cold Storage,Yedugundlapadu,0,40.79,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,6934,MT
43,28AP20060000047,Andhra Pradesh,2006-07,Prakasam,M/s Pothula Chenchaiah Cold Storage,Tangutur,0,50,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,5205,MT
