,0,1,2,3,4,5,6,7,8,9,10,11
27,28,06AHR0001142,Haryana,2013-14,Sonipat,SABHARWAL FOOD INDUSTRIES PRIVATE LIMITED,"Village-Nathupur, Taluka & Dist-Sonipat (Haryana)",235.42,50.0,NHB,Completed,POST HARVEST INFRASTRUCTURERIPENING CHAMBER1168.00TONNES
28,29,06AHR0001160,Haryana,2013-14,Hisar,Lakshay Waxing Plant (Prop : Ramesh Chander),"Village- Malapur, Taluka- Adampur, Dist.- Hisar (Haryana)",93.0,25.36,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNITNA5.00TONNES
29,30,06AHR0001165,Haryana,2013-14,Sonipat,Delhi Agrocool Private Limited.,"Village- Kundli, Taluka- Kundli, Distt.- Sonipat (Haryana)",152.0,48.0,NHB,Under Implementation,POST HARVEST INFRASTRUCTURERIPENING CHAMBER1120.00TONNES
30,31,06AHR0CS000034,Haryana,2013-14,Sonipat,Delhi Agrocool Private Limited.,"Village- Kundli, Taluka- Kundli, Distt.- Sonipat (Haryana)",627.3,115.94,NHB,Completed,COLD / CA STORAGECOLD STORAGE64141.00MT
31,32,06AHR0CS000037,Haryana,2013-14,Palwal,Kailash Agro Pvt. Ltd.,"Village-Devli, Taluka-Palwal, Dist-Palwal (Haryana)",938.31,256.0,NHB,Completed,COLD / CA STORAGECA STORAGE112000.00MT
32,33,06AHR0CS000013,Haryana,2013-14,Sonipat,Mrigesh Agro & Cold Storage Pvt. Ltd.,"Village-Kundli, Taluka-Sonipat, Dist-Sonipat (Haryana)",431.08,120.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE105000.00MT
33,34,06AHR0CS000020,Haryana,2013-14,Sonipat,Prabhu Kripa Agro & Cold Storage Pvt. Ltd.,"Village-Wazidpur Saboli, Taluka-Sonipat, Dist-Sonipat (Haryana)",674.92,117.68,NHB,Completed,COLD / CA STORAGECOLD STORAGE45000.00MT
34,35,06AHR0CS000033,Haryana,2013-14,Sonipat,Shalla Ram Ice & Cold Storage,"Village- Nathupur, Taluka- Sonipat, Distt.- Sonipat (Haryana)",1131.0,120.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE045100.00MT
35,36,06AHR0001168,Haryana,2013-14,Faridabad,Shiva Biotech,"Near Johar Motors, GT Mathura Road, Sikri, Village-Ballabgarh, Taluka-Ballabgarh, Dist-Faridabad (Haryana)",75.3,240.0,NHB,Completed,POST HARVEST INFRASTRUCTURERIPENING CHAMBERNA60.00TONNES
36,37,06AHR0CS000031,Haryana,2013-14,Sonipat,Viraj Cold Storage Private Limited,"Village- Nathupur, Taluka- Kundli, Dist.- Sonipat (Haryana)",735.32,120.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE75750.16MT
37,38,06AHR0CS000018,Haryana,2013-14,Sonipat,O S Cool Home,"Village-Kundli, Taluka- & Dist-Sonipat (Haryana)",596.22,120.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE65130.00MT
38,39,06AHR0CS000026,Haryana,2014-15,Sonipat,Hare Krishna Agrotech Cold Chain,"Village-Nathupur, Taluka-Sonipat, Dist-Sonipat (Haryana)",617.63,140.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE126311.00MT
39,40,06AHR0CS000023,Haryana,2014-15,Sonipat,M/S. Kamal Chand jain Cold Storage Pvt. Ltd.,"//Survey No.-69/17/1/2/2, 17/2/1/2, 16/2/3/2, 17/1/2/1, 17/2/1/1 Village-Wazidpur Saboli, Taluka-Sonepat, Distt.-Sonepat, State-Haryana",741.27,120.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE59740.00MT
40,41,06AHR0CS000035,Haryana,2014-15,Sonipat,Salsar Agro Food Cold Store Private Limited.,"Village- Wazidpur Saboli, Taluka- Sonipat, Distt.- Sonipat (Haryana)",560.0,114.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE58000.00MT
41,42,06AHR0001174,Haryana,2014-15,Gurgaon,RHP Logistics Pvt. Ltd.,"House No.1715, DLF Phase - 4, Chakkarpur, Gurgaon-122002 (Haryana)",182.17,48.0,NHB,Completed,POST HARVEST INFRASTRUCTUREREFER VANNA60.00TONNES
42,43,06AHR0CS000021,Haryana,2014-15,Sonipat,Golden Century Food Products Private Limited,"Village-Kundli, Taluka-Sonipat, Dist-Sonipat (Haryana)",845.92,120.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE117209.00MT
43,44,06AHR0CS000017,Haryana,2014-15,Sonipat,Om Ram Construction Company Pvt. Ltd.,"Village-Phase-I, I./Kundli, Taluka & Dist-Sonipat (Haryana)",237.54,23.44,NHB,Completed,COLD / CA STORAGECOLD STORAGE2977.00MT
44,45,06AHR0CS000027,Haryana,2014-15,Yamunanagar,R.B Mutha Impex Private Limited,"Village-Piou Maniyari,Narela Road, Kundli, Taluka-Sonipat, Dist-Sonipat (Haryana)",530.0,120.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE45562.00MT
45,46,06AHR0CS000014,Haryana,2014-15,Sonipat,R.S Freezing & Cooling Chambers Pvt. Ltd.,"Village-Nathupur, Taluka & Dist-Sonipat (Haryana)",4860.48,1406.8,NHB,Completed,COLD / CA STORAGECA STORAGE192592.00MT  COLD / CA STORAGECOLD STORAGE61122.00MT
46,47,06AHR0CS000030,Haryana,2014-15,Sonipat,Sneh Quality Spices Private Limited.,"Village- Bazidpur, Saboli, Taluka- Kundli, Dist.- Sonipat (Haryana)",860.0,120.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE95000.00MT
47,48,06AHR0CS000032,Haryana,2014-15,Sonipat,Sumanglam Traexim Private Limited,"Village-Wazidpur Saboli, Taluka-Sonipat, Dist-Sonipat (Haryana)",627.0,112.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE44668.00MT
48,49,06AHR0CS000040,Haryana,2014-15,Sonipat,A.R.Manufacturing Solutions Private limited,"I.E.Food Park Rai ,Distt -Sonipat (Haryana)",1125.0,116.25,NHB,Under Implementation,COLD / CA STORAGECOLD STORAGE94907.00MT
49,50,06AHR0CS000041,Haryana,2014-15,Sonipat,G.K Agro Cold Storage Pvt. Ltd.,"Village- Wazidpur, Taluka- Gram Saboli, Distt.- Sonepat (Haryana)",617.33,118.17,NHB,Under Implementation,COLD / CA STORAGECOLD STORAGE94925.00MT
50,51,06AHR0CS000043,Haryana,2014-15,Sonipat,Jubin Cold Storage Pvt. Ltd.,"Village- Nathupur, Distt.- Sonepat (Haryana)",742.53,268.8,NHB,Completed,COLD / CA STORAGECA STORAGE122100.00MT
51,52,06AHR0001183,Haryana,2014-15,Fatehabad,Sahil Fruit Ripening Store,"New Sabzi Mandi, Taluka- Fatehabad, Distt.- Fatehabad (Haryana)",87.8,21.0,NHB,Completed,POST HARVEST INFRASTRUCTURERIPENING CHAMBERNA60.00TONNES
52,53,06AHR0001177,Haryana,2014-15,Gurgaon,Vimla Panwar,"Village- Gurgaon, Taluka- Gurgaon, Distt.- Gurgaon (Haryana)",111.59,28.8,NHB,Completed,POST HARVEST INFRASTRUCTUREREFER VANNA18.00TONNES
53,54,06AHR0CS000039,Haryana,2015-16,Sonipat,Mansa Ram Agro Foods Private Limited,"Village-Wazidpur, Taluka-Kundli, Dist-Sonepat (Haryana)",784.0,104.08,NHB,Under Implementation,COLD / CA STORAGECOLD STORAGE74337.00MT
54,55,06AHR0CS000054,Haryana,2015-16,Sonipat,Topline Cold Chain Private Limited.,"Village- Nathupur, Ind. Sec.46, Distt.- Sonepat (Haryana)",679.0,120.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE105000.00MT
55,56,06AHR0001180,Haryana,2015-16,Jhajjar,White Knight Logistics (Prop: Major General (Retd) Ashok Sheoran),"Village- Khungai, Taluka- Jhajjar, Distt.- Jhajjar (Haryana)",234.69,24.0,NHB,Completed,POST HARVEST INFRASTRUCTURERIPENING CHAMBERNA60.00TONNES
56,57,06AHR0CS000042,Haryana,2015-16,Gurgaon,Bharat Store (Prop: Mahender Kumar),"Plot No. 92, Sector- 37 Pace City- I, Udyou Vihar, Distt.- Gurgaon (Haryana)",82.78,30.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE2352.00MT
57,58,06AHR0001178,Haryana,2015-16,Sonipat,KB Hortitech (Prop: Kewal Dhingra),"Village- Kundli, Taluka- Sonipat, Distt.- Sonipat (Haryana)",142.16,42.7,NHB,Completed,POST HARVEST INFRASTRUCTURERIPENING CHAMBERNA120.00TONNES
58,59,06AHR0001186,Haryana,2015-16,Gurgaon,Bhim Sain Baweja,"Malibu Town, Sohna Road, Gurgaon 122001 (Haryana)",150.0,50.75,NHB,Completed,POST HARVEST INFRASTRUCTUREREFER VAN0575.00TONNES
59,60,06AHR0001185,Haryana,2015-16,Gurgaon,Madan Lal Baweja,"15 Malibu Town, Gurgaon-Sohna Road, Gurgaon-122015 (Haryana)",150.0,50.75,NHB,Completed,POST HARVEST INFRASTRUCTUREREFER VANNA75.00TONNES
60,61,06AHR0001154,Haryana,2015-16,Faridabad,SGI Preservation Facilities (Prop : Satnam Singh),"Village- Dhauj, Taluka- Faridabad, Dist.- Faridabad (Haryana)",190.58,24.0,NHB,Completed,POST HARVEST INFRASTRUCTURERIPENING CHAMBERNA60.00TONNES
61,62,06AHR0CS000049,Haryana,2015-16,Sonipat,Samsung Overseas Limited.,"Industrial Estate EPIP, HSIIDC, Taluka- Kundli, Distt.- Sonepat (Haryana)",1257.41,383.08,NHB,Completed,COLD / CA STORAGECA STORAGE142996.00MT
62,63,06AHR0001189,Haryana,2015-16,Gurgaon,Ad Traders (Prop: Ankur Dua),"House No. 1715, DLF Phase- 4, Chakkarpur, Distt.- Gurgaon (Haryana)",164.88,49.13,NHB,Completed,POST HARVEST INFRASTRUCTUREREFER VANNA0.00NOT GIVEN
63,64,06AHR0CS000025,Haryana,2016-17,Sonipat,LA Cold Storage Pvt. Ltd.,"Village-Wazidpur, Taluka-Saboli, Dist-Sonipat (Haryana)",524.19,126.5,NHB,Completed,COLD / CA STORAGECOLD STORAGE64518.00MT
64,65,06AHR0001334,Haryana,2016-17,Gurgaon,Bharti Baweja,"480, Udyog Vihar, Phase V, Gurgaon (Haryana)",200.0,50.75,NHB,Completed,POST HARVEST INFRASTRUCTUREREFER VANNA0.00NOT GIVEN
65,66,06AHR0001335,Haryana,2016-17,Gurgaon,Divya Baweja,"480, Udyog Vihar, Phase V, Gurgaon (Haryana)",200.0,50.75,NHB,Completed,POST HARVEST INFRASTRUCTUREREFER VANNA0.00NOT GIVEN
66,67,06AHR0001406,Haryana,2018-19,Sirsa,P. K. Fruits (Prop-Pardeep Kumar),"Village-Choutala, Taluka-Dabwali, Dist-Sirsa (Haryana)",225.0,17.5,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNITNA0.00NOT GIVEN
67,68,06AHR0CS000057,Haryana,2021-22,Sonipat,Aspam Food Cold Storage Pvt. Ltd.,"Plot no. 568, HSIDC Sector 38, Phase -1. Food Park Rai, Taluka & Dist-Sonipat (Haryana)",27007.98,1970.64,NHB,Completed,COLD / CA STORAGECA STORAGE215111.53MT  COLD / CA STORAGECOLD STORAGE41914.30MT  COLD / CA STORAGECOLD STORAGE43014.43MT
