,0,1,2,3,4,5,6,7,8,9,10,11
0,1,04CH20010000215,Chandigarh,2001-02,Chandigarh,Nijjar Horticulture Ltd.,Chandigarh (Punjab),0.0,22.8,NHB,Completed,COLD / CA STORAGECOLD STORAGE02280.00MT
1,2,04CH20020000110,Chandigarh,2002-03,Chandigarh,Shakti Durga Cold Storage Pvt. Ltd.,Chandigarh (HR),0.0,24.2,NHB,Completed,COLD / CA STORAGECOLD STORAGE02420.00MT
2,3,04CH20060000224,Chandigarh,2006-07,Chandigarh,"Khukhrain Cold Storage & Ice Factory,","182/3, Industrial Area, Phase-1. Chandigarh-160002",0.0,5.43,NHB,Completed,COLD / CA STORAGECOLD STORAGE02170.00MT
3,4,04ACH0CS000001,Chandigarh,2014-15,Chandigarh,Chill O Fresh (Prop- Manu Goyal ),"Industrial Area,Phase-2(Chandigard) Village - Chandigarh Taluka - Chandigarh Distt-Chandigarh (UT of Chandigarh)",77.4,24.6,NHB,Completed,COLD / CA STORAGECOLD STORAGE4246.00MT
