,0,1,2,3,4,5,6,7,8,9,10,11
29,30,AHM-CS-38,Gujarat,2001-02,Mahesana,M/s.Kedarnath CS Pvt. Ltd.,"Boru, Vijapur",0.0,34.15,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03415.00MT
30,31,AHM-CS-39,Gujarat,2001-02,Ahmadabad,M/s Hapa cold storage ( Exp ),Naroda,0.0,14.49,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01449.40MT
31,32,AHM-CS-36,Gujarat,2001-02,Mahesana,M/s.Umiya CS,"Khanusa, Tal. Vijapur",0.0,44.65,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04792.87MT
32,33,AHM-CS-31,Gujarat,2001-02,Anand,M/S Amar CS (Expan & Modern.),"Vill. Lambhvel,Tal. Anand",0.0,3.97,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02912.90MT
33,34,AHM-CS-33,Gujarat,2001-02,Banas Kantha,M/s.Jay Preservation,"GIDC, Chandisar, Tal. Deesa",0.0,22.92,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02291.60MT
34,35,AHM-CS-24,Gujarat,2001-02,Kheda,M/s Radhakrishnan CS,"Kanjari, Tal. Nadiad, Distt. Kheda",0.0,16.93,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01845.00MT
35,36,AHM-CS-41,Gujarat,2001-02,Gandhinagar,M/s Soham CS,"Adalaj, Sarkhej Gandhinagar Highway",0.0,30.92,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03092.20MT
36,37,AHM-CS-23,Gujarat,2001-02,Banas Kantha,M/s Amardeep CS,"Tal. Deesa,",0.0,28.82,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02881.79MT
37,38,AHM-CS-35,Gujarat,2001-02,Ahmadabad,M/s.Hira CS Pvt. Ltd.,"Naroda,GIDC",0.0,28.01,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02801.30MT
38,39,AHM-CS-46,Gujarat,2001-02,Banas Kantha,M/s Maruti CS,"Jorapura, Tal. Deesa",0.0,34.97,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03496.65MT
39,40,AHM-CS-44,Gujarat,2001-02,Gandhinagar,M/s Kalindi CS Pvt. Ltd.,"PO Saragasan, Adalaj, Sarkhej Gandhinagar Highway",0.0,21.23,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02123.00MT
40,41,AHM-CS-42,Gujarat,2001-02,Gandhinagar,M/s Shri Krishna CS (EXP),"Vill. Sampa, Tal. Dehgam",0.0,21.8,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02180.00MT
41,42,24GJ20020000126,Gujarat,2002-03,Ahmadabad,Jayaram & Company Pvt. Ltd.,Ahmedabad,0.0,18.75,NHB,Completed,COLD / CA STORAGECOLD STORAGE01875.00MT
42,43,24GJ20020000123,Gujarat,2002-03,Anand,Kamal Cold Storage Anand,Anand (Gujrat),0.0,19.68,NHB,Completed,COLD / CA STORAGECOLD STORAGE01968.00MT
43,44,24GJ20020000128,Gujarat,2002-03,Surat,Kisan Cold Storage,Surat (Gujrat),0.0,18.43,NHB,Completed,COLD / CA STORAGECOLD STORAGE01843.00MT
44,45,24GJ20020000129,Gujarat,2002-03,Rajkot,Shree Giriraj Cold Storage,Rajkot (Gujrat),0.0,27.76,NHB,Completed,COLD / CA STORAGECOLD STORAGE02776.00MT
45,46,24GJ20020000124,Gujarat,2002-03,Gandhinagar,Shree Prabhukrishan Agro Products Pvt. Ltd .,Gandhinagar (Gujrat),0.0,18.14,NHB,Completed,COLD / CA STORAGECOLD STORAGE01814.00MT
46,47,24GJ20020000127,Gujarat,2002-03,Amreli,Shriji Cold Storage,Amreli (Gujrat),0.0,17.66,NHB,Completed,COLD / CA STORAGECOLD STORAGE01766.00MT
47,48,24GJ20020000125,Gujarat,2002-03,Ahmadabad,Vinod Cold Storage,Ahmedabad (Gujrat),0.0,11.67,NHB,Completed,COLD / CA STORAGECOLD STORAGE01167.00MT
48,49,AHM-CS-47,Gujarat,2002-03,Banas Kantha,M/s Banas CS,"Nani Akhol, Nr. Radhanpur Highway, Deesa",0.0,38.19,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03819.27MT
49,50,AHM-CS-48,Gujarat,2002-03,Banas Kantha,M/s Navbharat CS,"Jorapura, Tharad Highway, Deesa",0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE06259.79MT
50,51,AHM-CS-52,Gujarat,2002-03,Rajkot,M/s Rajendra CS,"GIDC Metoda, Tal. Lodhika",0.0,27.76,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02775.00MT
51,52,AHM-CS-49,Gujarat,2002-03,Banas Kantha,M/s Raviraj CS,"Borat Road, Akola, Deesa",0.0,42.08,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04208.48MT
52,53,AHM-CS-58,Gujarat,2002-03,Banas Kantha,M/s Natraj Cs(Exp),Deesa - Palanpur Highway,0.0,15.92,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01591.69MT
53,54,AHM-CS-57,Gujarat,2002-03,Banas Kantha,M/s Shree Ganesh Cs(Exp),Deesa - Palanpur Highway,0.0,18.39,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01839.00MT
54,55,AHM-CS-59,Gujarat,2002-03,Banas Kantha,M/s Kesar CS,"Deesa Palanpur Highway,Tal. Deesa",0.0,7.83,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE0783.43MT
55,56,AHM-CS-54,Gujarat,2002-03,Ahmadabad,M/s Shree Shiv Shakti Ice plant and Cold storage,"GIDC, Vatva",0.0,7.87,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE0786.70MT
56,57,AHM-CS-43,Gujarat,2002-03,Gandhinagar,M/s Abhimanyu CS Pvt. Ltd.,"Vill. Sampa, Tal. Dahegam,",0.0,41.25,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04605.80MT
57,58,AHM-CS-56,Gujarat,2002-03,Gandhinagar,M/s Shivkrupa CS (Exp.),Adalaj,0.0,7.85,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE0784.69MT
58,59,AHM-CS-60,Gujarat,2002-03,Banas Kantha,M/s Sundaram CS,Tal. Deesa,0.0,45.84,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04583.80MT
59,60,AHM-CS-45,Gujarat,2002-03,Anand,M/s Kamal Cold Storage,Mogar,0.0,0.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02800.00MT
60,61,AHM-CS-55,Gujarat,2002-03,Patan,M/s Paladia CS Pvt. Ltd.(Exp),"Brahmanwada, Unjha - Sidhpur Highway",0.0,19.48,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01948.31MT
61,62,AHM-CS-61,Gujarat,2002-03,Ahmadabad,M/s Padmavati Ice and CS Pvt. Ltd.(Exp and Mod),"S No. 76/P, National Highway no.8, Naroda Road, Saijpur Bogha",0.0,7.56,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01671.82MT
62,63,AHM-CS-62,Gujarat,2002-03,Gandhinagar,M/s Nasim Cold Storage P Ltd.,"Vill. Sanathal, Tal. Sanand, Distt. Ahmedabad",0.0,47.79,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04778.67MT
63,64,AHM-CS-63,Gujarat,2002-03,Banas Kantha,M/s Maruti Cold Storage (expansion),"Jorapura, Tal. Deesa",0.0,15.03,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02160.70MT
64,65,AHM-CS-64,Gujarat,2003-04,Ahmadabad,Sahajanand Cold Storage Pvt. Ltd. ( Expn. & Modernisation),Naroda,0.0,4.54,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01230.60MT
65,66,24GJ2003000053,Gujarat,2003-04,Jamnagar,Bharat Cold Storage,Jamnagar,0.0,1.52,NHB,Completed,COLD / CA STORAGECOLD STORAGE0152.00MT
66,67,24GJ2003000054,Gujarat,2003-04,Jamnagar,Bharat Ice Factory,Jamnagar,0.0,0.74,NHB,Completed,COLD / CA STORAGECOLD STORAGE074.00MT
67,68,AHM-CS-53,Gujarat,2003-04,Gandhinagar,M/s Mansrovar Cold Storage,"Vill. Ridrol, Tal. Mansa",0.0,34.35,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03434.63MT
68,69,AHM-CS-67,Gujarat,2003-04,Anand,M/s Amar Cold Storage (Modernisation),Tal Anand,0.0,4.21,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02000.00MT
69,70,AHM-CS-66,Gujarat,2003-04,Kheda,M/s Kalika Cold Storage,Tal. Nadia,0.0,20.23,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02022.64MT
70,71,AHM-CS-65,Gujarat,2003-04,Gandhinagar,M/s Khambhalia Cold Storage (Expansion ),Jam Khambhalia,0.0,4.69,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE0565.37MT
71,72,AHM-CS-68,Gujarat,2003-04,Ahmadabad,M/s Mothershree Cold Storage Pvt. Ltd.,Naroda,0.0,42.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04683.30MT
72,73,AHM-CS-69,Gujarat,2003-04,Ahmadabad,M/s Hapa Cold Storage (Expansion - II ),"GIDC, Naroda",0.0,17.21,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01721.25MT
73,74,AHM-CS-70,Gujarat,2003-04,Banas Kantha,M/s Vishwakarma Cold Storage,Deesa,0.0,39.16,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03915.67MT
74,75,AHM-CS-71,Gujarat,2003-04,Gandhinagar,M/s Surat Agro Cold Storage,"Antroli, Tal. Palsana",0.0,25.81,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02981.84MT
75,76,AHM-CS-72,Gujarat,2003-04,Ahmadabad,M/s Mothershree Cold Storage ( Expansion Programme),Naroda,0.0,7.5,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01580.00MT
76,77,AHM-CS-126,Gujarat,2003-04,Banas Kantha,Vaibhav Cold Storage,"Bhoyan, Tal. Deesa",0.0,37.53,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03752.61MT
77,78,AHM-CS-175,Gujarat,2004-05,Gandhinagar,M/s Vinod Cool Stores Pvt. Ltd. ( Expansion Programme ),"Limbadia, Ahmedabad - Himmatnagar Highway",0.0,17.88,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01788.30MT
78,79,24GJ20040000130,Gujarat,2004-05,Rajkot,Saurashtra Canning and Cold Storage Co. Rajkot,Rajkot(Gujrat),0.0,1.12,NHB,Completed,COLD / CA STORAGECOLD STORAGE0112.00MT
79,80,24GJ20040000131,Gujarat,2004-05,Rajkot,Vedmata Cold Storage Pvt. Ltd,"Rajkot, Gujarat",0.0,5.51,NHB,Completed,COLD / CA STORAGECOLD STORAGE0551.00MT
80,81,AHM-CS-177,Gujarat,2004-05,Banas Kantha,"M/s Tirupati Cold Storage Pvt Ltd. at Ta. Deesa, District - Banaskantha","at Ta. Deesa, District - Banaskantha",0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01072.00MT
81,82,AHM-CS-178,Gujarat,2004-05,Gandhinagar,M/s Parmeshwar cold storage pvt. ltd.,"At Block no. 119, Vill. Paliaya, Tal Dehgam, Gandhinagar",0.0,49.64,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE07286.00MT
82,83,AHM-CS-180,Gujarat,2004-05,Banas Kantha,M/s Mahalaxmi CS Pvt Ltd,"At R.S. No. 208/P Mauje Rajpur, Tal Deesa, Bansakantha",0.0,13.88,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01374.00MT
83,84,AHM-CS-179,Gujarat,2004-05,Banas Kantha,M/s Rajeshwar Cold Storage Pvt. Ltd.,"At R.T.O. Check Post, Akhol Moti, Dhanera Road, Deesa, Bansakantha",0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE08418.67MT
84,85,AHM-CS-182,Gujarat,2004-05,Banas Kantha,M/s Apeshwar Cold Storage Pvt. Ltd.,"At R.T.O. Check Post, Akhol Mot, Deesa, Bansakantha",0.0,45.47,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05204.60MT
85,86,AHM-CS-181,Gujarat,2004-05,Banas Kantha,M/s Pooja CS Pvt Ltd,"At R.S. No. 111-P.1 & 112/2 P.1 Mauje Bhoyan, Deesa, Bansakantha",0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE08289.00MT
86,87,AHM-CS-183,Gujarat,2004-05,Banas Kantha,M/s P. K. Cold storage,"At R.S. No. 97/AP/2 Mauje Malgadh Radhanpur Road, Deesa, Banaskantha",0.0,49.43,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE08000.00MT
87,88,24GJ20050000133,Gujarat,2005-06,Ahmadabad,Kissan Cold Storage,"Opp. Laxminarayan Petrol Pump, Near Chehar Mataji's Temple, Vill-Changodar, Taluka-Sanand, Dist-Ahmedabad (Gujarat)",0.0,18.49,NHB,Completed,COLD / CA STORAGECOLD STORAGE02029.83MT
88,89,24GJ20050000132,Gujarat,2005-06,Rajkot,Raja Cold Storage,"Plot No. 711-712, Gujarat Gas Main Road, Lodhika, GIDC State, Metoda, Rajkot(Gujarat)",0.0,8.35,NHB,Completed,COLD / CA STORAGECOLD STORAGE0835.28MT
