,0,1,2,3,4,5,6,7,8,9,10,11
0,1,NCDC-TR-2002-23,Tripura,2002-03,Agartala,Tripura Apex Mktg. Coop. Society Ltd.,"Tripura Apex Mktg. Coop. Society Ltd. Agartala, Distt. Agartala(Tripura). Cold Storage at Badharghat",185.1,40.0,Through NCDC,Completed,COLD / CA STORAGECOLD STORAGE13000.00MT
1,2,16TR20020000177,Tripura,2002-03,Agartala,Sherowali Himghar & Services Pvt. Ltd.,Agartala,0.0,60.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE05000.00MT
2,3,16ATR0CS000001,Tripura,2013-14,South Tripura,"P.K Cold Storage, Prop-Prabir Kumar Majumder","Village-Harina, Taluka-Sabroom, Dist-South Tripura (Tripura)",754.81,0.0,NHB,Under Implementation,COLD / CA STORAGECOLD STORAGE31516.90MT
3,4,16ATR0CS000002,Tripura,2014-15,West Tripura,DATTA COLD STORAGE (PROP: RABINDRA DATTA),"VILLAGE- TARANAGAR, TALUKA- FATIKCHARRA, DISTT.- WEST TRIPURA (TRIPURA)",1425.0,120.0,NHB,Under Implementation,COLD / CA STORAGECOLD STORAGE37173.00MT
