,0,1,2,3,4,5,6,7,8,9,10,11
27,28,27MH200200000112,Maharastra,2002-03,Thane,M/s DMK Agro Care Cold Storage,"Plot No. A-733, MIDC, TTC Kharine, Vashi, Navi Mumbai",0.0,30.18,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03018.00MT
28,29,27MH200200000109,Maharastra,2002-03,Sangli,M/s Jai-Sheetla Cold Storage Pvt. Ltd.,"Gat No. 1721, Kavathe Ekhand,Tal. Tasgaon, i",0.0,24.37,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02437.00MT
29,30,27MH200200000110,Maharastra,2002-03,Ahmadnagar,M/s Mauli Cold Storage,"MIDC, Ahmednagar",0.0,14.84,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01391.00MT
30,31,27MH200200000155,Maharastra,2002-03,Latur,M/s Mauli Warehousing & Cold Storage,kava road,0.0,23.64,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03881.00MT
31,32,27MH200200000122,Maharastra,2002-03,Thane,M/s Mayur Cold Lands Pvt Ltd.,"C- 57/4 TTC, Industrial Area, Turbhe, Thane Belapur Road, Navi Mumbai",0.0,36.4,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03640.00MT
32,33,27MH200200000113,Maharastra,2002-03,Amravati,M/s Narendra Cold Storage,"S. No.45/3&45/1A,Village Dhaba,Tal. Nandgaon Khandeshwar",0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05194.00MT
33,34,27MH200200000121,Maharastra,2002-03,Satara,M/s Otari Cold Storage,"Plot No. 20/2, Old MIDC, Satara",0.0,8.59,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE0896.00MT
34,35,27MH200200000111,Maharastra,2002-03,Solapur,M/s Padmini Cold Storage,"Gat no. 60/1/2, At Post Kasegaon, Pandharpur",0.0,16.69,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE01669.00MT
35,36,27MH200200000104,Maharastra,2002-03,Nashik,M/s.Bhalerao Agro processing Industries,"Kothure, Tal. Niphad",0.0,9.76,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE0976.00MT
36,37,27MH20020000150,Maharastra,2002-03,Sangli,Madhuri Cold Storage,Tasgaon (MS),0.0,18.96,NHB,Completed,COLD / CA STORAGECOLD STORAGE01896.00MT
37,38,27MH20020000157,Maharastra,2002-03,Thane,Nav Bharat Refrigeration & Industries Ltd.,"Thane, Maharashtra",0.0,17.99,NHB,Completed,COLD / CA STORAGECOLD STORAGE01799.00MT
38,39,27MH20020000156,Maharastra,2002-03,Sangli,Parnav Cold Storage,"Sangli, Maharashtra",0.0,13.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE01300.00MT
